pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-KIRC,TCGA-B4-5377-01,TCGA-BP-5176-01,0.001858822587436852,0.23809468520579463,128.0889778373662,128.0889778373662
TT,TCGA-KIRC,TCGA-BP-4993-01,TCGA-CJ-4897-01,0.0010104123779912976,0.2250164067820062,222.6975952425874,222.6975952425874
TT,TCGA-KIRC,TCGA-B0-4700-01,TCGA-KL-8342-01,0.0035305702871062045,0.2099857309621539,59.47643408460975,59.47643408460975
TT,TCGA-KIRC,TCGA-B0-5094-01,TCGA-DX-AB2V-01,0.0028985270539436357,0.358459586393128,123.66956723947783,123.66956723947783
TT,TCGA-KIRC,TCGA-BP-4343-01,TCGA-CJ-5681-01,0.0038281920650882787,0.39848370608089745,104.09187922281228,104.09187922281228
TT,TCGA-KIRC,TCGA-B8-A54H-01,TCGA-DX-A7EL-01,0.0016688322824081937,0.1828992396451172,109.59713661650053,109.59713661650053
TT,TCGA-KIRC,TCGA-B3-3925-01,TCGA-P4-A5E6-01,0.006834143312830179,0.2221452802696685,32.50521244595805,32.50521244595805
TT,TCGA-KIRC,TCGA-B0-5711-01,TCGA-CW-5583-01,0.00043793717721791136,0.16384880817703773,374.13769988180036,374.13769988180036
TT,TCGA-KIRC,TCGA-A3-3376-01,TCGA-A3-3385-01,0.0013187305843138483,0.11506992559478532,87.25810030003787,87.25810030003787
TT,TCGA-KIRC,TCGA-B0-5696-01,TCGA-CJ-4905-01,0.00202573787407882,0.2504917771943964,123.65458552148785,123.65458552148785
TT,TCGA-KIRC,TCGA-BP-4346-01,TCGA-DX-A1KZ-01,0.002792196946721913,0.25521331793162405,91.4023340048591,91.4023340048591
TT,TCGA-KIRC,TCGA-BP-4758-01,TCGA-DX-AB32-01,0.002041132308499059,0.3280705297127946,160.7296735967304,160.7296735967304
TT,TCGA-KIRC,TCGA-CJ-4916-01,TCGA-MM-A563-01,0.0006278723786154371,0.11822639565288735,188.29685725878912,188.29685725878912
TT,TCGA-KIRC,TCGA-B0-4822-01,TCGA-BP-4334-01,0.004952930772085087,0.23464642566648491,47.37526859631502,47.37526859631502
TT,TCGA-KIRC,TCGA-DX-A3LS-01,TCGA-EU-5907-01,0.0028767825762505434,0.2741523293062865,95.29824449354221,95.29824449354221
TT,TCGA-KIRC,TCGA-BP-4985-01,TCGA-BP-5187-01,0.0022939043724404798,0.28182595148278694,122.85863127892857,122.85863127892857
TT,TCGA-KIRC,TCGA-A3-3365-01,TCGA-BW-A5NP-01,0.0045893214609868515,0.1545458071157779,33.67508866605861,33.67508866605861
TT,TCGA-KIRC,TCGA-BP-4981-01,TCGA-DX-A7EL-01,0.0045092678737587485,0.4133451522600491,91.66569026991533,91.66569026991533
TT,TCGA-KIRC,TCGA-BP-4992-01,TCGA-CJ-4643-01,0.006941490556192578,0.0914600991161208,13.175858754792696,13.175858754792696
TT,TCGA-KIRC,TCGA-A3-3323-01,TCGA-KL-8331-01,0.00580599703527262,0.11411085144503465,19.653963092262686,19.653963092262686
TT,TCGA-KIRC,TCGA-A3-3370-01,TCGA-CZ-5456-01,0.0020737568558632574,0.29384839370378624,141.69857612427947,141.69857612427947
TT,TCGA-KIRC,TCGA-AY-A69D-01,TCGA-P4-A5ED-01,0.007911036220185097,0.43751868149606016,55.30485126331824,55.30485126331824
TT,TCGA-KIRC,TCGA-DX-A2J4-01,TCGA-DX-A8BZ-01,0.007723657343467783,0.19037850481551388,24.648750760094874,24.648750760094874
TT,TCGA-KIRC,TCGA-A3-A6NI-01,TCGA-B0-4815-01,0.0010858453488429797,0.32376599500760406,298.1695278729998,298.1695278729998
TT,TCGA-KIRC,TCGA-A3-3385-01,TCGA-BP-4981-01,0.004580863099111059,0.33022483130379454,72.08790661477668,72.08790661477668
TT,TCGA-KIRC,TCGA-A3-3322-01,TCGA-B0-5075-01,0.0012208798003491284,0.24887011791339386,203.8448976240133,203.8448976240133
TT,TCGA-KIRC,TCGA-BP-4967-01,TCGA-DX-A6BA-01,0.0031676693822147804,0.3363644931626669,106.18674254681422,106.18674254681422
TT,TCGA-KIRC,TCGA-AY-A69D-01,TCGA-P4-AAVM-01,0.003822066346429955,0.45216375789069785,118.30348217608693,118.30348217608693
TT,TCGA-KIRC,TCGA-CZ-5454-01,TCGA-KL-8329-01,0.004094605939054996,0.39304940316153947,95.9919975235156,95.9919975235156
TT,TCGA-KIRC,TCGA-B0-5812-01,TCGA-BP-4994-01,0.0015118433259226855,0.2510550091271131,166.05887979423593,166.05887979423593
TT,TCGA-KIRC,TCGA-CZ-4865-01,TCGA-V5-AASX-01,0.003560135335191581,0.2611644945786612,73.35802434168059,73.35802434168059
TT,TCGA-KIRC,TCGA-B0-5115-01,TCGA-CJ-4635-01,0.0006962259037192361,0.25972540315053183,373.04760102012824,373.04760102012824
TT,TCGA-KIRC,TCGA-CW-6087-01,TCGA-DX-A7EI-01,0.0036294799823592613,0.38991088236726884,107.42885599655962,107.42885599655962
TT,TCGA-KIRC,TCGA-AK-3455-01,TCGA-BP-5007-01,0.001463184646637237,0.2149566761556784,146.91015016437086,146.91015016437086
TT,TCGA-KIRC,TCGA-A3-A8OW-01,TCGA-DX-AB2W-01,0.007083268758066374,0.2488801540438922,35.13634206812629,35.13634206812629
TT,TCGA-KIRC,TCGA-B0-5705-01,TCGA-BP-4334-01,0.008139115304442881,0.27011734155621503,33.1875555822101,33.1875555822101
TT,TCGA-KIRC,TCGA-B8-4153-01,TCGA-DX-A8BP-01,0.0031482854427309194,0.44833915040220773,142.40740192010816,142.40740192010816
TT,TCGA-KIRC,TCGA-AK-3455-01,TCGA-B0-4845-01,0.0020070896609855927,0.2933143610776434,146.13914205188507,146.13914205188507
TT,TCGA-KIRC,TCGA-A3-3308-01,TCGA-BP-4790-01,0.000881830851893714,0.19613705877091167,222.4202729465762,222.4202729465762
TT,TCGA-KIRC,TCGA-AK-3425-01,TCGA-BP-5189-01,0.0006802472242525876,0.10984077857098734,161.47185119597276,161.47185119597276
TT,TCGA-KIRC,TCGA-B0-5399-01,TCGA-CJ-6027-01,0.0014653798263710909,0.2573662333251283,175.6310744105694,175.6310744105694
TT,TCGA-KIRC,TCGA-BP-4353-01,TCGA-P4-A5E8-01,0.003762439107416711,0.24583063953309636,65.33810448878828,65.33810448878828
TT,TCGA-KIRC,TCGA-B0-4817-01,TCGA-CZ-5452-01,0.0015440583007701627,0.31284636359259516,202.61305122776136,202.61305122776136
TT,TCGA-KIRC,TCGA-BP-4982-01,TCGA-CZ-4864-01,0.0005434924728612636,0.1811697525373084,333.34362771120715,333.34362771120715
TT,TCGA-KIRC,TCGA-A3-3317-01,TCGA-DX-AATS-01,0.004077199805062789,0.12708431246933322,31.16950812945899,31.16950812945899
TT,TCGA-KIRC,TCGA-BP-4766-01,TCGA-DX-A7EQ-01,0.021330816781254883,0.23642992843408,11.083960396765029,11.083960396765029
TT,TCGA-KIRC,TCGA-BP-5010-01,TCGA-BP-5185-01,0.005127101503972832,0.18109914279166966,35.32193436220086,35.32193436220086
TT,TCGA-KIRC,TCGA-B8-4151-01,TCGA-DX-AB2E-01,0.003345547851405048,0.3459228448491105,103.39796655541227,103.39796655541227
TT,TCGA-KIRC,TCGA-AK-3455-01,TCGA-CZ-5464-01,0.0013491629002830973,0.23381647014908022,173.3048471018719,173.3048471018719
TT,TCGA-KIRC,TCGA-BP-4352-01,TCGA-CZ-4860-01,0.005929820556672814,0.35857926322705613,60.47050830628385,60.47050830628385
TT,TCGA-KIRC,TCGA-CZ-4866-01,TCGA-XM-A8R8-01,0.0033401601697278273,0.26066615119577785,78.04001543345696,78.04001543345696
TT,TCGA-KIRC,TCGA-B0-5712-01,TCGA-CW-5584-01,0.0011581508073427891,0.18965860754899716,163.75985437003806,163.75985437003806
TT,TCGA-KIRC,TCGA-B0-4712-01,TCGA-CZ-4854-01,0.0025537087875383427,0.13755160029532637,53.86346358933109,53.86346358933109
